2025-09-28T23:51:55,035 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.0 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2025-09-28T23:51:55,252 | WARN  | CM Configuration Updater (Update: pid=org.apache.felix.fileinstall~deploy) | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | /tmp/verisium_debug_temp_dir_2445477/karaf/deploy does not exist, please create it.
2025-09-28T23:51:55,252 | WARN  | CM Configuration Updater (Update: pid=org.apache.felix.fileinstall~deploy) | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Root path does not exist: /tmp/verisium_debug_temp_dir_2445477/karaf/deploy
2025-09-28T23:51:55,909 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Adding features: instance/[4.4.3,4.4.3],config/[4.4.3,4.4.3],kar/[4.4.3,4.4.3],framework/[4.4.3,4.4.3],scr/[4.4.3,4.4.3],shell/[4.4.3,4.4.3],service/[4.4.3,4.4.3],diagnostic/[4.4.3,4.4.3],jaas/[4.4.3,4.4.3],verisium-debug-splash/[15.22.0,15.22.0],package/[4.4.3,4.4.3],system/[4.4.3,4.4.3],feature/[4.4.3,4.4.3],verisium-debug-main/[15.22.0,15.22.0],deployer/[4.4.3,4.4.3],management/[4.4.3,4.4.3],bundle/[4.4.3,4.4.3],eventadmin/[4.4.3,4.4.3],log/[4.4.3,4.4.3],ssh/[4.4.3,4.4.3],wrap/[2.6.12,2.6.12]
2025-09-28T23:51:56,019 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
2025-09-28T23:51:56,019 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   Region: root
2025-09-28T23:51:56,019 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |     Bundles to install:
2025-09-28T23:51:56,020 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.12/jar/uber
2025-09-28T23:51:56,021 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Installing bundles:
2025-09-28T23:51:56,021 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.12/jar/uber
2025-09-28T23:51:56,042 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Starting bundles:
2025-09-28T23:51:56,043 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.ops4j.pax.url.wrap/2.6.12
2025-09-28T23:51:56,048 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Done.
2025-09-28T23:51:59,555 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
2025-09-28T23:51:59,556 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   Region: root
2025-09-28T23:51:59,556 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |     Bundles to install:
2025-09-28T23:51:59,556 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcpkix-jdk15on/1.70
2025-09-28T23:51:59,557 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcprov-jdk15on/1.70
2025-09-28T23:51:59,557 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcutil-jdk15on/1.70
2025-09-28T23:51:59,557 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/framework-installer-15.22-SNAPSHOT.jar
2025-09-28T23:51:59,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/splash/1.0.0/osgi-splash-1.0-SNAPSHOT.jar
2025-09-28T23:51:59,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.guava/guava/28.2-jre
2025-09-28T23:51:59,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.guava/failureaccess/1.0.1
2025-09-28T23:51:59,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:net.java.dev.jna/jna/4.4.0
2025-09-28T23:51:59,559 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2025-09-28T23:51:59,559 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2025-09-28T23:51:59,559 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
